Company Name,Industry,Symbol,Index Name
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,Nifty Smallcap 50
Star Cement Ltd.,Construction Materials,STARCEMENT,Nifty Cement
State Bank of India,Financial Services,SBIN,Nifty 50
Steel Authority of India Ltd.,Metals & Mining,SAIL,Nifty Metal
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,Nifty Chemicals
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,Nifty 50
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,Nifty Media
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,Nifty Midcap 50
Suzlon Energy Ltd.,Capital Goods,SUZLON,Nifty Midcap 50
Swiggy Ltd.,Consumer Services,SWIGGY,Nifty Midcap 50
Syngene International Ltd.,Healthcare,SYNGENE,Nifty Smallcap 50
TBO Tek Ltd.,Consumer Services,TBOTEK,Nifty India Tourism
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,Nifty Next 50
Tata Capital Ltd.,Financial Services,TATACAP,Nifty Next 50
Tata Chemicals Ltd.,Chemicals,TATACHEM,Nifty Smallcap 50
Tata Consultancy Services Ltd.,Information Technology,TCS,Nifty 50
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,Nifty 50
Tata Motors Ltd.,Capital Goods,TMCV,Nifty Next 50
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,Nifty 50
Tata Power Co. Ltd.,Power,TATAPOWER,Nifty Next 50
Tata Steel Ltd.,Metals & Mining,TATASTEEL,Nifty 50
Tata Technologies Ltd.,Information Technology,TATATECH,Nifty Smallcap 50
Tech Mahindra Ltd.,Information Technology,TECHM,Nifty 50
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,Nifty Cement
Thermax Ltd.,Capital Goods,THERMAX,Nifty Energy
Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC,Nifty Media
Titan Company Ltd.,Consumer Durables,TITAN,Nifty 50
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,Nifty Next 50
Torrent Power Ltd.,Power,TORNTPOWER,Nifty Commodities
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,Nifty India Tourism
Trent Ltd.,Consumer Services,TRENT,Nifty 50
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,Nifty Midcap 50
UCO Bank,Financial Services,UCOBANK,Nifty PSU bank
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,Nifty Auto
UPL Ltd.,Chemicals,UPL,Nifty Midcap 50
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,Nifty Capital Markets
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,Nifty 50
Union Bank of India,Financial Services,UNIONBANK,Nifty Next 50
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,Nifty FMCG
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,Nifty Next 50
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,Nifty Next 50
Vedanta Ltd.,Metals & Mining,VEDL,Nifty Next 50
Voltas Ltd.,Consumer Durables,VOLTAS,Nifty Consumer Durables
Waaree Energies Ltd.,Capital Goods,WAAREEENER,Nifty Midcap 50
Welspun Corp Ltd.,Capital Goods,WELCORP,Nifty Smallcap 50
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,Nifty Consumer Durables
Wipro Ltd.,Information Technology,WIPRO,Nifty 50
Wockhardt Ltd.,Healthcare,WOCKPHARMA,Nifty Smallcap 50
Yes Bank Ltd.,Financial Services,YESBANK,Nifty Midcap 50
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,Nifty Media
Zen Technologies Ltd.,Capital Goods,ZENTEC,Nifty India Defence
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,Nifty Next 50
